antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_4__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_5__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_6__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_7__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_8__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_9__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_10__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_11__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_12__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_13__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_14__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_15__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_16__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_17__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_18__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_19__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_20__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_21__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_22__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_23__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_24__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_25__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_26__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_27__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_28__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_29__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_30__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_31__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_32__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_33__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_34__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_35__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_36__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_37__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_38__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_39__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_40__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_41__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_42__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_43__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_44__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_45__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_46__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_47__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_2_PatternStep_48__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'flow_Link_13_diameter__(348.15, 348.29]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'flow_Link_13_length__(853.736, 854.078]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'flow_Link_17_diameter__(481.258, 481.451]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'flow_Link_17_length__(2002.388, 2003.189]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_BaseDemand__(396.552, 396.71]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternMean__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStd__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_1__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_2__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_3__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_4__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_5__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_6__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_7__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_8__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_9__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_10__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_11__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_12__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_13__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_14__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_15__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_16__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_17__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_18__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_19__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_20__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_21__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_22__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_23__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_24__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_25__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_26__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_27__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_28__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_29__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_30__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_31__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_32__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_33__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_34__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_35__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_36__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_37__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_38__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_39__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_40__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_41__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_42__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_43__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_44__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_45__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_46__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_47__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_7_PatternStep_48__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'pressure_Node_20_Elevation__(29.994, 30.006]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'flow_Link_9_diameter__(1055.554, 1055.976]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'flow_Link_9_length__(766.543, 766.85]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'flow_Link_26_diameter__(587.195, 587.43]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'flow_Link_26_length__(777.514, 777.825]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'flow_Link_23_diameter__(1005.833, 1006.235]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'flow_Link_23_length__(2795.416, 2796.534]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'flow_Link_11_diameter__(748.985, 749.285]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'flow_Link_11_length__(1372.654, 1373.203]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_BaseDemand__(235.181, 235.275]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternMean__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStd__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_1__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_2__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_3__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_4__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_5__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_6__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_7__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_8__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_9__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_10__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_11__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_12__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_13__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_14__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_15__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_16__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_17__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_18__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_19__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_20__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_21__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_22__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_23__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_24__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_25__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_26__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_27__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_28__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_29__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_30__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_31__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_32__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_33__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_34__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_35__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_36__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_37__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_38__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_39__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_40__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_41__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_42__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_43__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_44__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_45__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_46__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_47__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_3_PatternStep_48__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_22_BaseDemand__(122.315, 122.364]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_22_PatternMean__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_22_PatternStd__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_22_PatternStep_1__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_22_PatternStep_2__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_22_PatternStep_3__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_22_PatternStep_4__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_22_PatternStep_5__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_22_PatternStep_6__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_22_PatternStep_7__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_22_PatternStep_8__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_22_PatternStep_9__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_22_PatternStep_10__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_22_PatternStep_11__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_22_PatternStep_12__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_32__(-580.183, -462.96]', 'demand_Node_22_PatternStep_13__(-0.0002, 0.0002]']",leak_label__1.0,0.424,1.0,0.973,0.424
